Item Type,Brand,Age (Years),Condition,Weight (kg),Material Composition,Battery Included,Visible Damage,Screen Condition,Rust Presence,Wiring Condition,Resale Potential,Scrap Price (₹),Estimated Repair Cost (₹),Final Amount Paid (₹)
Laptop,Dell,7,Partially Working,9.4,"Metal, Plastic",No,No,Missing Parts,Yes,Intact,Low,2037.23,1691,346.23
Printer,HP,10,Non-Working,40.2,"Glass, Plastic, Metal",No,No,N/A,No,Damaged Wires,Medium,8384.31,1535,6849.3099999999995
Refrigerator,Godrej,6,Scrap,19.7,"Plastic, Glass",No,No,N/A,No,N/A,Medium,1342.0,0,1342.0
Refrigerator,Godrej,5,Working,24.4,"Metal, Plastic",No,Yes,N/A,No,N/A,Low,1751.67,0,1751.67
TV,Samsung,4,Working,43.2,"Plastic, Glass",No,Yes,Minor Scratches,No,Damaged Wires,High,5956.59,0,5956.59
AC,Daikin,12,Working,4.7,"Metal, Plastic",No,Yes,N/A,No,Slightly Worn,Low,402.0,0,402.0
Laptop,Lenovo,9,Working,30.9,"Metal, Plastic",No,No,Minor Scratches,Yes,Damaged Wires,Medium,6295.67,0,6295.67
AC,Voltas,2,Non-Working,50.1,Plastic,No,No,N/A,No,Intact,High,13737.44,3079,10658.44
TV,Panasonic,3,Scrap,36.7,Plastic,No,No,Cracked,No,Damaged Wires,Medium,9384.95,0,9384.95
Washing Machine,Bosch,13,Partially Working,32.7,Plastic,No,Yes,N/A,No,N/A,Low,3513.52,1623,1890.52
Refrigerator,Godrej,8,Scrap,13.3,Plastic,No,No,N/A,No,N/A,Low,2530.36,0,2530.36
Refrigerator,Whirlpool,7,Scrap,36.3,Plastic,No,No,N/A,No,N/A,Low,5041.25,0,5041.25
TV,Panasonic,2,Working,56.8,"Glass, Plastic, Metal",No,Yes,Minor Scratches,Yes,Slightly Worn,High,2869.2,0,2869.2
Microwave,Panasonic,1,Scrap,25.1,"Glass, Plastic, Metal",No,No,N/A,No,N/A,Medium,6911.91,0,6911.91
Printer,HP,3,Non-Working,18.6,"Plastic, Glass",No,No,N/A,No,Intact,Medium,4242.49,2434,1808.4899999999998
Microwave,LG,14,Scrap,43.7,"Glass, Plastic, Metal",No,Yes,N/A,No,N/A,Low,3960.98,0,3960.98
Microwave,LG,9,Scrap,0.8,"Metal, Plastic",No,No,N/A,Yes,N/A,Low,231.93,0,231.93
AC,Daikin,4,Partially Working,47.8,"Plastic, Glass",No,No,N/A,No,Damaged Wires,Low,7391.48,557,6834.48
Refrigerator,Samsung,12,Scrap,20.4,"Plastic, Glass",No,Yes,N/A,No,N/A,High,6036.52,0,6036.52
Washing Machine,IFB,14,Scrap,4.2,Metal,No,Yes,N/A,No,N/A,Medium,862.58,0,862.58
Washing Machine,Samsung,7,Scrap,1.9,Plastic,No,No,N/A,No,N/A,High,273.34,0,273.34
Printer,Epson,14,Partially Working,56.4,"Metal, Plastic",No,No,N/A,No,Damaged Wires,Medium,8194.16,3275,4919.16
Refrigerator,Godrej,5,Working,53.7,Metal,No,Yes,N/A,Yes,N/A,High,13836.78,0,13836.78
Washing Machine,LG,4,Partially Working,22.8,Metal,No,No,N/A,No,N/A,Medium,3744.78,546,3198.78
Printer,Epson,7,Non-Working,48.2,Plastic,No,No,N/A,No,Slightly Worn,Medium,7371.02,2380,4991.02
Laptop,Apple,3,Scrap,60.0,Plastic,No,Yes,No Damage,No,Damaged Wires,High,17855.57,0,17855.57
Microwave,Samsung,3,Working,9.2,"Plastic, Glass",No,No,N/A,No,N/A,Low,2740.92,0,2740.92
Laptop,HP,13,Working,22.8,"Plastic, Glass",Yes,Yes,Missing Parts,No,Damaged Wires,High,3523.72,0,3523.72
Washing Machine,IFB,10,Working,26.8,Plastic,No,No,N/A,No,N/A,Low,1910.8,0,1910.8
Printer,HP,13,Working,52.4,Plastic,No,Yes,N/A,No,Slightly Worn,Low,5532.75,0,5532.75
Refrigerator,Whirlpool,2,Non-Working,55.0,"Glass, Plastic, Metal",No,Yes,N/A,No,N/A,High,8310.99,1684,6626.99
Washing Machine,Samsung,13,Working,53.7,"Glass, Plastic, Metal",No,Yes,N/A,No,N/A,Medium,5063.99,0,5063.99
TV,Sony,6,Partially Working,26.1,Plastic,No,No,No Damage,No,Damaged Wires,Low,6189.84,2423,3766.84
Mobile,Oppo,10,Scrap,1.5,Plastic,Yes,Yes,Cracked,No,N/A,Medium,151.54,0,151.54
TV,Sony,5,Scrap,51.6,Metal,No,No,Missing Parts,Yes,Slightly Worn,Low,4802.3,0,4802.3
AC,Daikin,6,Partially Working,0.9,Plastic,No,Yes,N/A,No,Slightly Worn,Medium,203.2,2120,0.0
AC,Daikin,15,Partially Working,24.5,Metal,No,No,N/A,No,Slightly Worn,Medium,6276.08,1403,4873.08
Mobile,Oppo,11,Working,32.6,"Glass, Plastic, Metal",Yes,Yes,Minor Scratches,No,N/A,Low,6540.49,0,6540.49
TV,Panasonic,4,Partially Working,57.6,Plastic,No,No,No Damage,No,Slightly Worn,Low,6333.67,153,6180.67
Washing Machine,IFB,3,Scrap,41.7,Plastic,No,Yes,N/A,No,N/A,High,9517.1,0,9517.1
AC,Daikin,5,Partially Working,21.4,Plastic,No,Yes,N/A,No,Slightly Worn,High,5879.6,3279,2600.6000000000004
Microwave,Panasonic,14,Working,52.2,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,Medium,6651.9,0,6651.9
Mobile,OnePlus,9,Working,45.2,"Metal, Plastic",No,Yes,Cracked,No,N/A,Medium,5563.14,0,5563.14
AC,Hitachi,11,Scrap,54.8,"Metal, Plastic",No,Yes,N/A,Yes,Slightly Worn,Low,7104.72,0,7104.72
AC,Voltas,6,Working,16.4,Plastic,No,Yes,N/A,No,Damaged Wires,Low,2383.36,0,2383.36
Microwave,LG,1,Non-Working,56.9,"Metal, Plastic",No,Yes,N/A,No,N/A,Medium,13630.69,1405,12225.69
Mobile,Apple,2,Partially Working,26.6,"Plastic, Glass",Yes,Yes,No Damage,No,N/A,Low,7877.89,2810,5067.89
TV,Samsung,8,Scrap,4.0,"Metal, Plastic",No,No,No Damage,Yes,Slightly Worn,Low,850.88,0,850.88
Washing Machine,Bosch,1,Partially Working,31.3,Plastic,No,No,N/A,No,N/A,Medium,4868.13,750,4118.13
TV,LG,14,Scrap,46.7,Plastic,No,No,Missing Parts,No,Damaged Wires,High,10598.37,0,10598.37
Mobile,OnePlus,4,Scrap,58.8,Metal,Yes,Yes,Cracked,Yes,N/A,High,13973.54,0,13973.54
Washing Machine,LG,14,Scrap,32.4,Metal,No,Yes,N/A,Yes,N/A,Medium,1947.29,0,1947.29
Microwave,Samsung,8,Working,16.4,"Plastic, Glass",No,No,N/A,No,N/A,Low,3436.11,0,3436.11
Microwave,LG,13,Non-Working,18.7,Metal,No,Yes,N/A,Yes,N/A,Medium,5062.37,2015,3047.37
Printer,HP,3,Non-Working,50.0,"Metal, Plastic",No,Yes,N/A,Yes,Intact,High,4247.17,696,3551.17
Refrigerator,LG,8,Partially Working,51.1,Plastic,No,No,N/A,No,N/A,High,7936.26,1608,6328.26
AC,Daikin,14,Non-Working,23.4,"Plastic, Glass",No,No,N/A,No,Slightly Worn,High,1573.04,823,750.04
TV,LG,10,Working,55.6,Plastic,No,No,Missing Parts,No,Damaged Wires,High,7458.29,0,7458.29
Laptop,Lenovo,15,Non-Working,12.8,Plastic,No,Yes,Cracked,No,Damaged Wires,High,1622.36,431,1191.36
TV,Samsung,9,Working,25.1,Plastic,No,Yes,Missing Parts,No,Damaged Wires,Low,6847.31,0,6847.31
Washing Machine,Bosch,6,Working,49.5,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,High,5386.23,0,5386.23
Printer,HP,12,Scrap,6.4,"Metal, Plastic",No,Yes,N/A,Yes,Damaged Wires,Low,335.45,0,335.45
Washing Machine,Samsung,5,Partially Working,1.6,"Plastic, Glass",No,Yes,N/A,No,N/A,High,247.86,2714,0.0
Washing Machine,Samsung,10,Scrap,33.9,Metal,No,No,N/A,Yes,N/A,Low,8334.36,0,8334.36
Printer,Epson,13,Scrap,49.5,"Plastic, Glass",No,No,N/A,No,Intact,Medium,11458.74,0,11458.74
Mobile,Samsung,1,Non-Working,46.5,"Plastic, Glass",No,Yes,No Damage,No,N/A,Low,5510.97,678,4832.97
Microwave,LG,7,Working,9.0,Plastic,No,No,N/A,No,N/A,High,1531.79,0,1531.79
AC,LG,15,Working,10.4,"Metal, Plastic",No,No,N/A,No,Damaged Wires,High,738.5,0,738.5
Refrigerator,LG,2,Partially Working,23.2,"Plastic, Glass",No,No,N/A,No,N/A,Medium,2069.31,946,1123.31
AC,Daikin,2,Working,20.5,"Glass, Plastic, Metal",No,No,N/A,Yes,Intact,Medium,3804.74,0,3804.74
Refrigerator,Whirlpool,4,Partially Working,58.7,"Metal, Plastic",No,Yes,N/A,No,N/A,High,15114.33,2596,12518.33
Microwave,Samsung,14,Partially Working,1.6,"Plastic, Glass",No,Yes,N/A,No,N/A,High,247.17,2104,0.0
Laptop,HP,11,Scrap,1.8,"Plastic, Glass",Yes,No,Missing Parts,No,Intact,Low,506.18,0,506.18
Refrigerator,Godrej,3,Scrap,34.8,"Metal, Plastic",No,No,N/A,Yes,N/A,High,2259.29,0,2259.29
Washing Machine,Bosch,13,Non-Working,54.3,"Plastic, Glass",No,No,N/A,No,N/A,Medium,4656.7,2091,2565.7
Laptop,Dell,3,Scrap,7.1,Metal,Yes,Yes,No Damage,No,Slightly Worn,Medium,1028.82,0,1028.82
AC,Hitachi,4,Non-Working,53.2,"Plastic, Glass",No,Yes,N/A,No,Intact,High,12475.01,1541,10934.01
Mobile,Vivo,9,Non-Working,5.9,"Glass, Plastic, Metal",No,Yes,Cracked,No,N/A,Low,1448.88,2351,0.0
AC,Hitachi,3,Working,14.0,Plastic,No,Yes,N/A,No,Intact,High,3539.52,0,3539.52
AC,Voltas,1,Scrap,45.2,Plastic,No,No,N/A,No,Damaged Wires,High,11413.73,0,11413.73
Refrigerator,Godrej,11,Non-Working,23.0,Plastic,No,No,N/A,No,N/A,High,3072.67,1450,1622.67
Laptop,Dell,5,Non-Working,53.2,"Plastic, Glass",Yes,No,Minor Scratches,No,Intact,Low,9411.14,505,8906.14
Mobile,Apple,11,Partially Working,18.6,"Metal, Plastic",Yes,No,No Damage,No,N/A,Low,2734.52,490,2244.52
Mobile,OnePlus,12,Scrap,24.0,Metal,Yes,Yes,Cracked,Yes,N/A,Low,5296.51,0,5296.51
AC,Daikin,1,Scrap,14.4,Plastic,No,No,N/A,No,Damaged Wires,Low,3521.75,0,3521.75
Washing Machine,Samsung,11,Working,34.0,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,High,5543.01,0,5543.01
Mobile,Vivo,14,Partially Working,42.4,Plastic,No,Yes,Minor Scratches,No,N/A,Low,5996.51,3405,2591.51
AC,Voltas,5,Partially Working,34.6,"Metal, Plastic",No,No,N/A,No,Slightly Worn,High,9872.82,741,9131.82
Printer,Canon,12,Non-Working,15.6,Plastic,No,No,N/A,No,Intact,Low,4131.1,3932,199.10000000000036
Refrigerator,LG,3,Scrap,33.8,Plastic,No,No,N/A,No,N/A,Low,2531.79,0,2531.79
Mobile,Oppo,12,Partially Working,22.1,"Plastic, Glass",Yes,Yes,Minor Scratches,No,N/A,Low,1252.67,3771,0.0
Microwave,Samsung,10,Partially Working,34.0,Plastic,No,Yes,N/A,No,N/A,Low,6833.63,3864,2969.63
Mobile,Vivo,2,Non-Working,19.4,Metal,No,No,Missing Parts,Yes,N/A,Low,1767.71,1930,0.0
TV,Sony,15,Working,8.5,Metal,No,No,No Damage,No,Intact,Low,592.86,0,592.86
Printer,HP,14,Partially Working,19.1,Metal,No,Yes,N/A,No,Slightly Worn,Medium,2024.87,1531,493.8699999999999
Laptop,Dell,15,Non-Working,55.5,"Glass, Plastic, Metal",Yes,Yes,No Damage,Yes,Intact,High,3464.75,3507,0.0
Printer,Epson,2,Working,16.5,Plastic,No,No,N/A,No,Slightly Worn,High,4681.98,0,4681.98
Refrigerator,Samsung,9,Scrap,6.7,"Glass, Plastic, Metal",No,No,N/A,No,N/A,High,1197.56,0,1197.56
Microwave,Panasonic,6,Scrap,33.5,Plastic,No,No,N/A,No,N/A,Medium,3165.9,0,3165.9
Microwave,LG,15,Partially Working,29.7,Metal,No,No,N/A,Yes,N/A,Medium,6003.21,3404,2599.21
AC,Daikin,14,Scrap,28.0,Metal,No,No,N/A,Yes,Intact,Low,4881.19,0,4881.19
TV,LG,9,Working,1.7,"Glass, Plastic, Metal",No,No,No Damage,Yes,Damaged Wires,High,410.6,0,410.6
Laptop,Apple,13,Non-Working,48.1,"Plastic, Glass",Yes,Yes,No Damage,No,Damaged Wires,High,8695.92,1887,6808.92
AC,LG,4,Non-Working,18.9,Metal,No,Yes,N/A,No,Damaged Wires,High,1715.57,2137,0.0
Mobile,Samsung,6,Working,54.4,Plastic,No,Yes,Missing Parts,No,N/A,Low,9122.45,0,9122.45
Printer,Epson,2,Non-Working,28.2,"Glass, Plastic, Metal",No,Yes,N/A,Yes,Damaged Wires,Low,2046.4,2311,0.0
Refrigerator,LG,13,Scrap,48.0,Plastic,No,No,N/A,No,N/A,Low,6169.2,0,6169.2
Microwave,LG,3,Non-Working,10.6,Plastic,No,No,N/A,No,N/A,High,2172.52,1010,1162.52
Washing Machine,Bosch,14,Partially Working,52.4,Plastic,No,Yes,N/A,No,N/A,High,9544.8,3568,5976.799999999999
AC,Voltas,11,Working,1.9,"Glass, Plastic, Metal",No,Yes,N/A,No,Slightly Worn,Low,508.8,0,508.8
Microwave,Panasonic,3,Working,13.7,Metal,No,No,N/A,No,N/A,Medium,2525.35,0,2525.35
Refrigerator,Samsung,2,Non-Working,12.1,Plastic,No,No,N/A,No,N/A,High,3121.12,1484,1637.12
AC,LG,15,Partially Working,52.9,"Glass, Plastic, Metal",No,No,N/A,No,Intact,Medium,5849.85,1717,4132.85
AC,LG,9,Partially Working,10.3,Metal,No,Yes,N/A,No,Slightly Worn,Low,2762.8,3772,0.0
Washing Machine,IFB,12,Non-Working,18.2,Metal,No,Yes,N/A,Yes,N/A,High,1478.04,3874,0.0
Refrigerator,Samsung,8,Scrap,25.5,Metal,No,Yes,N/A,No,N/A,Medium,5066.61,0,5066.61
AC,Daikin,14,Partially Working,11.9,"Plastic, Glass",No,No,N/A,No,Intact,High,3143.63,3838,0.0
Refrigerator,LG,4,Non-Working,48.5,Metal,No,Yes,N/A,No,N/A,Low,12096.71,214,11882.71
Mobile,Oppo,5,Non-Working,49.0,"Metal, Plastic",Yes,No,No Damage,Yes,N/A,Medium,9513.39,2057,7456.389999999999
Washing Machine,LG,7,Working,32.1,Plastic,No,Yes,N/A,No,N/A,Medium,3386.88,0,3386.88
Mobile,Vivo,15,Partially Working,34.4,Metal,Yes,Yes,Minor Scratches,Yes,N/A,Medium,5296.87,135,5161.87
AC,Hitachi,8,Non-Working,55.1,Plastic,No,Yes,N/A,No,Slightly Worn,Medium,5367.22,1991,3376.2200000000003
Washing Machine,Samsung,13,Partially Working,42.8,"Metal, Plastic",No,No,N/A,Yes,N/A,Medium,11251.36,3010,8241.36
Microwave,Panasonic,11,Non-Working,43.7,Plastic,No,Yes,N/A,No,N/A,Low,12540.6,408,12132.6
AC,LG,9,Working,23.6,Plastic,No,Yes,N/A,No,Intact,Low,2632.67,0,2632.67
AC,LG,5,Scrap,13.3,"Metal, Plastic",No,No,N/A,Yes,Damaged Wires,Medium,3347.27,0,3347.27
Laptop,Dell,3,Partially Working,33.6,"Plastic, Glass",No,Yes,No Damage,No,Intact,Low,7745.55,1075,6670.55
Refrigerator,Godrej,12,Working,48.4,"Glass, Plastic, Metal",No,No,N/A,No,N/A,Medium,2769.86,0,2769.86
Microwave,Panasonic,12,Partially Working,30.3,Plastic,No,Yes,N/A,No,N/A,High,6903.6,2429,4474.6
Mobile,Vivo,15,Partially Working,0.6,"Metal, Plastic",Yes,No,Minor Scratches,No,N/A,Medium,99.6,1875,0.0
Washing Machine,Samsung,14,Scrap,39.9,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,Low,3268.53,0,3268.53
Printer,Epson,9,Working,12.6,Metal,No,Yes,N/A,Yes,Intact,Low,3377.09,0,3377.09
Refrigerator,Samsung,12,Non-Working,47.0,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,Low,6710.37,3694,3016.37
Washing Machine,Samsung,3,Working,52.1,Plastic,No,No,N/A,No,N/A,High,7285.82,0,7285.82
Printer,Epson,13,Working,56.3,"Plastic, Glass",No,No,N/A,No,Intact,Low,13640.72,0,13640.72
Microwave,Samsung,9,Partially Working,54.8,Metal,No,Yes,N/A,Yes,N/A,High,8243.51,3463,4780.51
Printer,Epson,3,Non-Working,12.6,"Metal, Plastic",No,No,N/A,Yes,Slightly Worn,High,3436.12,3817,0.0
Printer,Canon,13,Scrap,46.0,"Plastic, Glass",No,No,N/A,No,Damaged Wires,Medium,9017.82,0,9017.82
Printer,HP,10,Scrap,12.6,Plastic,No,Yes,N/A,No,Damaged Wires,High,3666.3,0,3666.3
AC,Daikin,15,Working,19.2,"Metal, Plastic",No,Yes,N/A,Yes,Slightly Worn,Low,4316.45,0,4316.45
Laptop,HP,12,Partially Working,11.7,"Plastic, Glass",No,Yes,Missing Parts,No,Slightly Worn,High,1976.5,1219,757.5
Washing Machine,Bosch,11,Working,16.3,Plastic,No,Yes,N/A,No,N/A,Low,1404.61,0,1404.61
TV,Samsung,10,Scrap,50.7,"Metal, Plastic",No,Yes,Minor Scratches,No,Slightly Worn,Medium,5408.46,0,5408.46
Washing Machine,Samsung,9,Scrap,11.2,Plastic,No,No,N/A,No,N/A,High,2903.89,0,2903.89
AC,Voltas,9,Partially Working,58.7,"Plastic, Glass",No,No,N/A,No,Slightly Worn,Low,15128.17,1838,13290.17
AC,Voltas,7,Non-Working,27.2,Plastic,No,No,N/A,No,Slightly Worn,Medium,3673.36,3763,0.0
Washing Machine,LG,2,Scrap,39.8,"Plastic, Glass",No,Yes,N/A,No,N/A,Medium,6089.06,0,6089.06
Printer,Epson,3,Non-Working,58.9,"Metal, Plastic",No,Yes,N/A,No,Intact,Medium,14183.28,663,13520.28
Printer,Canon,6,Working,29.0,Metal,No,Yes,N/A,Yes,Slightly Worn,High,6167.24,0,6167.24
Microwave,Panasonic,8,Non-Working,24.6,"Metal, Plastic",No,Yes,N/A,No,N/A,Medium,3933.12,3648,285.1199999999999
TV,Panasonic,6,Partially Working,21.1,"Plastic, Glass",No,Yes,No Damage,No,Slightly Worn,Low,5949.41,2629,3320.41
Refrigerator,Whirlpool,1,Non-Working,43.6,"Metal, Plastic",No,No,N/A,No,N/A,High,3957.25,1231,2726.25
Mobile,Samsung,3,Partially Working,54.1,Metal,No,Yes,No Damage,No,N/A,Low,9217.74,2579,6638.74
Mobile,OnePlus,8,Scrap,44.1,"Plastic, Glass",No,Yes,Minor Scratches,No,N/A,Low,7629.63,0,7629.63
TV,Sony,3,Partially Working,30.0,Plastic,No,No,Missing Parts,No,Damaged Wires,Low,4738.38,3030,1708.38
Refrigerator,Godrej,7,Scrap,18.5,Metal,No,No,N/A,No,N/A,High,2220.77,0,2220.77
Printer,HP,4,Non-Working,19.6,"Glass, Plastic, Metal",No,No,N/A,Yes,Intact,Low,1059.07,2240,0.0
Microwave,Panasonic,8,Scrap,3.3,"Plastic, Glass",No,Yes,N/A,No,N/A,Low,264.4,0,264.4
Laptop,Apple,7,Scrap,10.9,Plastic,Yes,Yes,Missing Parts,No,Damaged Wires,Low,2772.32,0,2772.32
Microwave,Samsung,5,Scrap,3.8,Metal,No,Yes,N/A,Yes,N/A,Low,440.9,0,440.9
Printer,Canon,2,Partially Working,16.0,Plastic,No,No,N/A,No,Slightly Worn,Low,4479.78,2647,1832.7799999999997
Mobile,Oppo,15,Scrap,37.6,"Glass, Plastic, Metal",Yes,No,Cracked,No,N/A,Medium,5217.24,0,5217.24
Microwave,LG,1,Non-Working,49.8,Metal,No,Yes,N/A,Yes,N/A,High,11408.73,3035,8373.73
Printer,HP,3,Non-Working,10.4,Plastic,No,No,N/A,No,Damaged Wires,High,2450.79,1180,1270.79
Microwave,Panasonic,5,Scrap,46.2,"Metal, Plastic",No,No,N/A,No,N/A,Medium,6923.87,0,6923.87
Refrigerator,LG,2,Non-Working,51.7,Plastic,No,No,N/A,No,N/A,Low,10231.41,2593,7638.41
AC,LG,13,Partially Working,43.9,"Metal, Plastic",No,No,N/A,Yes,Slightly Worn,Low,7708.02,922,6786.02
Printer,HP,1,Scrap,17.7,Plastic,No,No,N/A,No,Intact,Low,1548.86,0,1548.86
AC,Daikin,3,Partially Working,19.4,"Metal, Plastic",No,No,N/A,No,Intact,High,2698.09,2087,611.0900000000001
Laptop,Dell,11,Non-Working,54.0,Metal,No,Yes,Minor Scratches,No,Damaged Wires,Low,5671.21,1194,4477.21
TV,Samsung,3,Scrap,9.9,Plastic,No,Yes,Missing Parts,No,Damaged Wires,High,1632.18,0,1632.18
Mobile,Apple,9,Non-Working,40.4,Plastic,Yes,Yes,No Damage,No,N/A,High,11423.84,3709,7714.84
Microwave,LG,13,Working,37.5,Plastic,No,Yes,N/A,No,N/A,High,6030.25,0,6030.25
AC,Voltas,10,Partially Working,51.3,"Glass, Plastic, Metal",No,No,N/A,Yes,Slightly Worn,Low,13005.53,1322,11683.53
AC,LG,14,Partially Working,41.0,"Plastic, Glass",No,Yes,N/A,No,Slightly Worn,High,5880.54,3365,2515.54
Laptop,HP,9,Partially Working,20.1,Metal,No,No,Minor Scratches,Yes,Intact,High,3287.36,1496,1791.3600000000001
AC,Daikin,8,Partially Working,53.8,Plastic,No,No,N/A,No,Intact,High,3561.07,2429,1132.0700000000002
TV,Panasonic,15,Working,39.4,"Plastic, Glass",No,No,Cracked,No,Slightly Worn,Low,11072.22,0,11072.22
Washing Machine,Bosch,3,Scrap,4.2,Plastic,No,No,N/A,No,N/A,Low,851.12,0,851.12
TV,Samsung,8,Scrap,3.4,Plastic,No,Yes,Minor Scratches,No,Slightly Worn,High,613.76,0,613.76
Printer,HP,6,Working,26.5,Metal,No,No,N/A,Yes,Slightly Worn,Low,2242.49,0,2242.49
Microwave,Samsung,15,Partially Working,40.8,"Metal, Plastic",No,No,N/A,No,N/A,Low,9012.06,3338,5674.0599999999995
TV,Sony,5,Working,47.3,"Plastic, Glass",No,Yes,Missing Parts,No,Intact,Medium,13879.39,0,13879.39
TV,Sony,4,Non-Working,36.7,"Plastic, Glass",No,Yes,Cracked,No,Intact,Low,7327.45,1772,5555.45
Mobile,OnePlus,3,Non-Working,42.1,"Metal, Plastic",Yes,Yes,Missing Parts,Yes,N/A,Medium,7481.48,3363,4118.48
Refrigerator,Samsung,7,Non-Working,28.4,Plastic,No,Yes,N/A,No,N/A,High,5996.29,1838,4158.29
Printer,Epson,2,Scrap,5.8,"Glass, Plastic, Metal",No,No,N/A,Yes,Intact,Low,1001.82,0,1001.82
Microwave,LG,14,Partially Working,22.4,Metal,No,Yes,N/A,No,N/A,Low,6189.34,2238,3951.34
Refrigerator,Godrej,10,Non-Working,12.7,Plastic,No,No,N/A,No,N/A,High,1304.63,3994,0.0
Refrigerator,Samsung,6,Partially Working,7.2,Plastic,No,Yes,N/A,No,N/A,Low,644.5,2186,0.0
Washing Machine,IFB,10,Working,17.7,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,Low,3715.74,0,3715.74
Mobile,OnePlus,3,Working,16.7,"Glass, Plastic, Metal",No,No,Missing Parts,Yes,N/A,Low,4620.17,0,4620.17
Washing Machine,Samsung,12,Partially Working,12.5,"Glass, Plastic, Metal",No,No,N/A,No,N/A,High,3614.45,1355,2259.45
Mobile,OnePlus,8,Partially Working,44.6,Plastic,No,Yes,Missing Parts,No,N/A,Medium,12269.43,3724,8545.43
Mobile,Apple,15,Non-Working,9.5,Metal,Yes,No,Minor Scratches,Yes,N/A,Medium,2808.92,1912,896.9200000000001
Refrigerator,Godrej,9,Scrap,11.3,"Plastic, Glass",No,No,N/A,No,N/A,Low,1761.53,0,1761.53
TV,Panasonic,3,Partially Working,23.8,Metal,No,Yes,No Damage,Yes,Slightly Worn,Low,6649.29,2584,4065.29
Laptop,Acer,6,Scrap,7.4,Metal,Yes,No,Cracked,Yes,Intact,Medium,1112.07,0,1112.07
Mobile,Samsung,12,Partially Working,6.2,"Plastic, Glass",Yes,No,Missing Parts,No,N/A,Low,1359.11,2859,0.0
TV,Samsung,12,Scrap,29.4,"Glass, Plastic, Metal",No,No,No Damage,Yes,Slightly Worn,Low,1498.42,0,1498.42
AC,Hitachi,15,Scrap,39.2,"Metal, Plastic",No,No,N/A,Yes,Slightly Worn,Medium,11445.27,0,11445.27
Laptop,HP,12,Non-Working,39.6,"Glass, Plastic, Metal",Yes,Yes,Cracked,No,Damaged Wires,Low,11567.61,3639,7928.610000000001
Mobile,Oppo,3,Partially Working,32.5,"Metal, Plastic",Yes,No,Missing Parts,Yes,N/A,High,2176.28,244,1932.2800000000002
Microwave,LG,6,Non-Working,58.3,Plastic,No,No,N/A,No,N/A,High,10745.69,2941,7804.6900000000005
Laptop,Dell,7,Non-Working,16.5,Plastic,Yes,Yes,No Damage,No,Damaged Wires,Medium,4229.47,2879,1350.4700000000003
Washing Machine,IFB,1,Working,51.2,Plastic,No,Yes,N/A,No,N/A,Medium,9612.23,0,9612.23
Mobile,Samsung,4,Non-Working,44.6,Metal,Yes,Yes,No Damage,Yes,N/A,Medium,12501.48,1081,11420.48
AC,Daikin,15,Partially Working,31.9,Plastic,No,Yes,N/A,No,Slightly Worn,High,4880.06,2666,2214.0600000000004
Refrigerator,Samsung,9,Non-Working,49.6,Plastic,No,No,N/A,No,N/A,High,8106.01,1624,6482.01
Printer,Canon,2,Partially Working,12.9,"Glass, Plastic, Metal",No,No,N/A,Yes,Intact,High,2090.69,3135,0.0
Microwave,Panasonic,8,Working,55.4,Plastic,No,No,N/A,No,N/A,High,3455.33,0,3455.33
Refrigerator,LG,2,Scrap,21.2,Plastic,No,Yes,N/A,No,N/A,Low,2246.94,0,2246.94
Mobile,Samsung,11,Non-Working,44.9,Plastic,No,Yes,Minor Scratches,No,N/A,Medium,5909.6,2263,3646.6000000000004
AC,Daikin,3,Working,41.9,Plastic,No,No,N/A,No,Damaged Wires,Low,10552.81,0,10552.81
Microwave,Samsung,13,Partially Working,4.9,Metal,No,Yes,N/A,Yes,N/A,Medium,424.05,812,0.0
Laptop,Dell,13,Working,26.2,"Plastic, Glass",No,Yes,Missing Parts,No,Intact,Low,4194.83,0,4194.83
Mobile,Apple,10,Working,7.1,Metal,Yes,No,Minor Scratches,No,N/A,Medium,1081.01,0,1081.01
Washing Machine,Samsung,1,Scrap,52.5,"Glass, Plastic, Metal",No,No,N/A,No,N/A,Medium,7403.87,0,7403.87
TV,Samsung,11,Partially Working,45.1,"Metal, Plastic",No,Yes,Missing Parts,Yes,Intact,High,4478.35,2088,2390.3500000000004
Microwave,Samsung,8,Scrap,12.8,Plastic,No,No,N/A,No,N/A,Medium,3764.88,0,3764.88
Refrigerator,LG,11,Partially Working,3.4,"Metal, Plastic",No,Yes,N/A,Yes,N/A,High,231.79,3009,0.0
Printer,HP,11,Non-Working,16.0,Metal,No,Yes,N/A,No,Damaged Wires,Low,982.96,765,217.96000000000004
Mobile,Samsung,12,Scrap,13.2,"Glass, Plastic, Metal",No,Yes,Missing Parts,Yes,N/A,Low,2651.2,0,2651.2
Microwave,Panasonic,7,Partially Working,46.3,"Metal, Plastic",No,No,N/A,No,N/A,Low,10892.96,3523,7369.959999999999
AC,Voltas,15,Partially Working,33.4,Plastic,No,Yes,N/A,No,Intact,Medium,5895.81,3389,2506.8100000000004
